test,total_packets,average_packet_size_kb,total_acks,total_syns,average_latency_ms
TCP 10,26459,1026.9632261234362,26439,40,2.13
TCP 10 L,26064,1062.5262430939226,26044,40,2.26
TCP 50,132664,1036.8882967496834,132564,200,0.44
TCP 50 L,133821,1058.121991316759,133721,200,0.44
TCP 100,280633,1033.3477032280593,280433,400,0.21
TCP 100 L,272640,1033.5483384683098,272440,400,0.21
UDP 10,9493,385.8986621721268,0,0,6.33
UDP 10 L,7212,243.60357737104826,0,0,8.24
UDP 50,47746,291.98186235496166,0,0,1.24
UDP 50 L,43449,344.595042463578,0,0,1.38
UDP 100,95568,350.0265465427758,0,0,0.62
UDP 100 L,103938,353.53224037406915,0,0,0.58
